District,Latitude,Longitude
Paderu,18.0791533,82.6632234
Anakapalli,17.671533099999998,82.77475669632513
Ananthapuramu,14.0126989,78.41802218995733
Rayachoti,14.0555217,78.7510163
Bapatla,15.9346161,80.38697056600418
Chittoor,13.202648400000001,79.00322534350747
Amalapuram,16.5777179,82.0032621
Rajamahendravaram,17.0050454,81.7804732
Eluru,16.7104257,81.1153816
Guntur,16.2915189,80.4541588
Kakinada,16.9437385,82.2350607
Machilipatnam,16.1817369,81.1348181
Kurnool,15.8309251,78.0425373
Nandyal,15.4736293,78.4806592
Nellore,14.4493717,79.9873763
Vijayawada,16.5115306,80.6160469
Narasaraopet,16.2389242,80.0472879
Parvathipuram,18.783186,83.4278759
Ongole,15.5058714,80.0499454
Srikakulam,18.2949307,83.8938844
Puttaparthi,14.1636778,77.8124982
Tirupati,13.6316368,79.4231711
Visakhapatnam,17.6935526,83.2921297
Vizianagaram,18.1141255,83.4114389
Bhimavaram,16.5427689,81.527344
Kadapa,14.4752936,78.8216861
Hawai,27.8843894,96.8124468
Changlang,27.272007000000002,96.06552596101915
Seppa,27.3594183,93.0406098
Pasighat,28.0589676,95.3324944
Raga,27.7968313,94.0692973
Palin,27.6936934,93.6318826
Koloriang,27.9054828,93.3536693
Basar,18.8845844,77.95259
Tezu,27.9254195,96.1647135
Longding,26.879454600000003,95.3155652456941
Roing,28.1368472,95.8430824
Likabali,27.6588306,94.6977781
Ziro,27.538668,93.815355
Namsai,27.71403055,96.01597093953018
Lemmi,27.1594297,93.220666
Yupia,27.1462282,93.7205996
Tato,28.53149,94.37531
Boleng,28.3224401,94.9542331
Tawang,27.674194200000002,91.93620587613823
Khonsa,26.9910099,95.5061065
Anini,28.796932,95.9044795
Yingkiong,28.6410598,95.0276607
Daporijo,27.9843402,94.2190544
Bomdila,27.264445,92.4206519
Aalo,28.1385744,94.76341531038398
Yachuli,27.4682776,93.7696932
Napangphung,,
Mushalpur,26.6620387,91.3410716
Pathsala,26.497126,91.1777196
Barpeta,26.345941,91.03970795827374
Biswanath Chariali,26.72667,93.147765
Bongaigaon,26.4800126,90.5580387
Silchar,24.830302,92.7875689
Sonari,27.055710050000002,95.12029902214498
Kajalgaon,26.513931,90.525509
Mangaldoi,26.3939266,92.03900881636952
Dhemaji,27.5945155,94.71920979201423
Dhubri,26.132275049999997,90.12499622870274
Dibrugarh,27.4844597,94.9019447
Haflong,25.182510299999997,92.8984045214543
Goalpara,26.04918765,90.60018585947726
Golaghat,26.5108262,93.9743686
Hailakandi,24.6846916,92.5645836
Sankardev Nagar,26.1328421,91.821536
Jorhat,26.7577925,94.2079645
Amingaon,26.1861581,91.6699507
Guwahati,26.1805978,91.753943
Diphu,25.8371941,93.4383663
Karimganj,24.58281955,92.37254865
Kokrajhar,26.49121035,90.1215209027452
North Lakhimpur,27.254431,94.1120339
Garamur,26.980306,94.1574452
Marigaon,26.290712,92.29221835627254
Nagaon,26.3313646,92.75247628339588
Nalbari,26.35336315,91.39836617554388
Sibsagar,26.9834936,94.6394226
Tezpur,26.61695705,92.76500717365028
Hatsingimari,25.7250428,89.9003208
Tamulpur,26.6420982,91.62342012323039
Tinsukia,27.4879722,95.3601855
Udalguri,26.70472375,92.04215071409463
Hamren,25.8449919,92.5748777
Araria,26.26510125,87.36994367279917
Arwal,25.18128315,84.65966477186029
Aurangabad,24.80332005,84.41101977690866
Banka,24.8328273,86.81611137878144
Begusarai,25.5125411,86.08833919362361
Bhagalpur,25.286135350000002,87.13042293057262
Arrah,25.560317,84.6632139
Buxar,25.504483399999998,84.10975247469455
Darbhanga,26.082989949999998,86.03249509324232
Motihari,26.6506888,84.9114654
Gaya,24.67938895,85.01158329654393
Gopalganj,26.42111655,84.37391327996377
Jamui,24.75625135,86.30111278381085
Jehanabad,25.15295785,85.00650426458421
Bhabua,25.07634815,83.63359775892343
Katihar,25.5586421,87.64571962485962
Khagaria,25.4930513,86.69822644137813
Kishanganj,26.29841435,87.94667148301295
Lakhisarai,25.154393849999998,86.17449589670395
Madhepura,25.7806118,86.93647530783664
Madhubani,26.3503076,86.22964236520482
Munger,25.2202864,86.51614835791698
Muzaffarpur,26.1482548,85.3316096785584
