Latitude,Longitude,Signal Strength (dBm),Signal Level (0-1),EARFCN,Optimal Band,Bandwidth (MHz),PCI,Download Speed (Mbps),Upload Speed (Mbps),Ping (ms)
18.861663,96.521429,-78.52311461899308,0.59,54886,Unknown,10,466,8.046059712816051,2.405378998102028,72.13515699898201
17.67755,72.286005,-89.82618796448004,0.43,59735,Unknown,10,413,5.328329639681472,1.919121865976485,84.24490578465557
13.318731,77.127267,-111.12549012693601,0.13,25658,Unknown,5,169,6.9007393647938065,2.2489560319142234,95.0839865051569
25.933194,79.47386,-85.24455177494066,0.5,69092,n28 (700 MHz),50,134,5.711102634244864,1.8997461498940882,128.42319463139916
10.832491,88.526991,-95.21552194675598,0.35,17159,Unknown,5,34,4.676489227204958,2.2705495461680436,111.6804673976837
27.213146,77.351332,-57.216869584475596,0.9,40757,Unknown,5,190,7.387279448564635,2.3237143380742413,136.02678315848584
19.459357,95.799766,-94.07186580147395,0.37,40397,Unknown,5,251,7.3772514528612225,2.3843517176117595,90.96688913232134
19.271641,76.140471,-89.60638770959787,0.43,39099,Unknown,10,492,7.114244452437831,2.824083969394795,88.4475315875105
10.161969,97.606608,-91.76922000305959,0.4,48190,Unknown,5,498,6.2233525776817356,3.530999522495951,127.93840357348596
30.36684,70.22134,-93.39217523222638,0.38,22662,Unknown,5,327,4.381575248297571,1.603664816870698,96.64036538479175
18.753729,88.065238,-75.4999460449282,0.64,10965,Unknown,5,34,8.453032937150727,1.462170123484518,97.72588764915443
28.684099,90.823551,-70.04565747116527,0.71,206,Band 1 (2100 MHz),20,345,55.072718779899795,20.435235341190857,27.009926495341325
17.116323,83.257121,-87.19671887837512,0.47,56044,Unknown,5,170,5.7142251430234925,4.122920499341374,124.71199230925424
33.533567,86.730621,-91.10322017347335,0.41,69163,n28 (700 MHz),40,445,4.367668206380455,3.8718621335497767,105.26659881864498
33.986648,77.540104,-87.56630182692554,0.46,61373,Unknown,5,115,4.264348551734478,1.150610026766991,69.4278164389579
12.77502,84.022683,-65.54884385513213,0.78,13545,Unknown,10,151,4.693327084967719,2.338714288333991,112.12152570443615
23.044928,89.090569,-82.42449609277236,0.54,62003,n28 (700 MHz),40,294,4.851108168467666,0.5812287847009585,99.20458373652349
16.260374,69.106608,-84.39769790058973,0.51,854,Unknown,5,223,9.926484224970572,2.3076390352188776,109.04642027000837
12.201951,82.683583,-73.5717718548498,0.66,12688,Unknown,5,293,6.503866065373549,3.902794310936099,57.944468116231576
26.372362,84.073241,-94.90536325130688,0.36,15708,Unknown,5,147,3.867404540794456,1.4032477014228104,79.53095308239183
28.623336,92.285031,-92.20297992858814,0.4,8680,Unknown,5,423,4.460132461848619,3.120548215961735,95.1718786941081
11.988107,78.231991,-88.56745025768194,0.45,46843,Unknown,10,345,6.1122435970679305,2.513033899766551,111.33308775919275
15.564046,97.887611,-84.37175400266817,0.51,29855,Unknown,5,502,6.003192730692345,1.263049289121918,60.38630160747171
29.052715,94.913308,-82.49507149654123,0.54,12183,Unknown,10,74,5.692896418993952,3.3539977864949013,150.0
18.7962,96.204003,-86.42990934707527,0.48,61135,Unknown,5,168,1.1308596089979006,1.169925934485215,99.24137123286616
18.627595,90.325116,-94.59894632113907,0.36,40818,Unknown,10,374,7.209856436900298,3.0396092015836658,55.05113087884208
36.387893,82.602265,-86.4089855446735,0.48,48404,Unknown,10,96,6.744323718706908,2.235343166762044,150.0
13.662047,89.673563,-95.70892498061113,0.35,18589,Unknown,5,45,5.96494483048637,2.276537214674149,121.42001482276277
8.448242,95.849557,-80.26762375426455,0.57,66235,n28 (700 MHz),20,115,4.854342174686255,1.653206281931595,54.554583259424064
32.682963,77.50766,-82.85906255869796,0.53,23093,Unknown,10,322,2.508522442576024,1.6161425637988671,104.61175317836583
25.83521,97.701616,-84.41791281554,0.51,45017,Unknown,5,103,2.714059404338754,3.583051243175277,131.6140615610471
18.425243,76.807755,-79.8496473279134,0.57,29592,Unknown,10,12,6.027571901824418,1.316734378545581,114.84986962575084
10.057287,79.903515,-84.31648748896171,0.51,10966,Unknown,5,341,4.1811823388568845,1.5865874626775849,86.34900478037301
36.473386,93.168005,-89.12761613190106,0.44,53006,Unknown,10,490,6.191287303608643,2.5642800190954627,67.66765666212082
30.329813,74.474631,-92.30366631717136,0.4,66412,n28 (700 MHz),40,46,5.43291717916395,1.7344906341926614,112.66941284992194
11.849617,97.086106,-98.07914299669375,0.31,25945,Unknown,5,473,1.0188009008452723,1.728180922243245,149.83905191824462
13.025535,72.693111,-81.82232967562881,0.55,20056,Unknown,10,236,1.775545385650953,2.877296265460409,149.5405295943847
25.739902,80.588002,-92.30741403229653,0.4,13284,Unknown,10,184,2.44016053347374,1.8199956658820575,92.0978246539818
10.730553,77.342399,-90.49252907364301,0.42,56573,Unknown,10,356,7.193592508882808,4.132411303931635,57.09575866118102
26.417716,69.35912,-70.58726710933884,0.71,9823,Unknown,5,503,2.1282756976411212,1.518491348952049,113.86310422789812
10.046494,87.272578,-84.30197915009981,0.51,60890,Unknown,10,151,4.22937280627648,3.249105676964324,150.0
11.72651,92.336125,-80.53710651998082,0.56,38304,Band 8 (900 MHz),10,329,7.272484634238525,1.831025172683315,73.95747323786537
